CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicredi-BphEo1On-py3.11/bin/python script/worst_performance/question2.py
MEM 22.285156 1713396025.5086
MEM 22.285156 1713396025.6087
MEM 22.285156 1713396025.7088
MEM 22.285156 1713396025.8090
MEM 22.285156 1713396025.9091
MEM 22.285156 1713396026.0092
MEM 22.285156 1713396026.1093
MEM 22.285156 1713396026.2096
MEM 22.285156 1713396026.3098
MEM 22.285156 1713396026.4099
MEM 22.285156 1713396026.5101
MEM 22.285156 1713396026.6102
MEM 22.285156 1713396026.7104
MEM 22.285156 1713396026.8105
MEM 22.285156 1713396026.9107
MEM 22.285156 1713396027.0108
MEM 22.285156 1713396027.1109
MEM 22.285156 1713396027.2111
MEM 22.285156 1713396027.3113
MEM 22.285156 1713396027.4114
MEM 22.285156 1713396027.5115
MEM 22.285156 1713396027.6117
MEM 22.285156 1713396027.7118
MEM 22.285156 1713396027.8119
MEM 22.285156 1713396027.9120
MEM 22.285156 1713396028.0122
MEM 22.285156 1713396028.1123
MEM 22.285156 1713396028.2124
MEM 22.285156 1713396028.3126
MEM 22.285156 1713396028.4128
MEM 22.285156 1713396028.5130
MEM 22.285156 1713396028.6131
MEM 22.285156 1713396028.7132
MEM 22.285156 1713396028.8134
MEM 22.285156 1713396028.9136
MEM 22.285156 1713396029.0137
MEM 22.285156 1713396029.1138
MEM 22.285156 1713396029.2139
MEM 22.285156 1713396029.3141
MEM 22.285156 1713396029.4143
MEM 22.285156 1713396029.5144
MEM 22.285156 1713396029.6145
MEM 22.285156 1713396029.7147
MEM 22.285156 1713396029.8148
MEM 22.285156 1713396029.9149
MEM 22.285156 1713396030.0151
MEM 22.285156 1713396030.1152
MEM 22.285156 1713396030.2154
MEM 22.285156 1713396030.3155
MEM 22.285156 1713396030.4158
MEM 22.285156 1713396030.5160
MEM 22.285156 1713396030.6161
MEM 22.285156 1713396030.7163
MEM 22.285156 1713396030.8165
MEM 22.285156 1713396030.9167
MEM 22.285156 1713396031.0168
MEM 22.285156 1713396031.1170
MEM 22.285156 1713396031.2171
MEM 22.285156 1713396031.3173
MEM 22.285156 1713396031.4174
MEM 22.285156 1713396031.5176
MEM 22.285156 1713396031.6177
MEM 22.285156 1713396031.7179
MEM 22.285156 1713396031.8180
MEM 22.285156 1713396031.9181
MEM 22.285156 1713396032.0183
MEM 22.285156 1713396032.1184
MEM 22.285156 1713396032.2185
MEM 22.285156 1713396032.3186
MEM 22.285156 1713396032.4188
MEM 22.285156 1713396032.5190
MEM 22.285156 1713396032.6192
MEM 22.285156 1713396032.7194
MEM 22.285156 1713396032.8196
MEM 22.285156 1713396032.9197
MEM 22.285156 1713396033.0199
MEM 22.285156 1713396033.1200
MEM 22.285156 1713396033.2202
MEM 22.285156 1713396033.3203
MEM 22.285156 1713396033.4205
MEM 22.285156 1713396033.5206
MEM 22.285156 1713396033.6208
MEM 22.285156 1713396033.7209
MEM 22.285156 1713396033.8211
MEM 22.285156 1713396033.9212
MEM 22.285156 1713396034.0213
MEM 22.285156 1713396034.1215
MEM 22.285156 1713396034.2216
MEM 22.285156 1713396034.3217
