CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicred-BphEo1On-py3.11/bin/python script/worst_performance/question1.py
MEM 28.574219 1713367152.2455
MEM 28.574219 1713367152.3457
MEM 28.574219 1713367152.4459
MEM 28.574219 1713367152.5460
MEM 28.574219 1713367152.6462
MEM 28.574219 1713367152.7464
MEM 28.574219 1713367152.8466
MEM 28.574219 1713367152.9467
MEM 28.574219 1713367153.0469
MEM 28.574219 1713367153.1471
MEM 28.574219 1713367153.2473
MEM 28.574219 1713367153.3475
MEM 28.574219 1713367153.4477
MEM 28.574219 1713367153.5479
MEM 28.574219 1713367153.6480
MEM 28.574219 1713367153.7482
MEM 28.574219 1713367153.8484
MEM 28.574219 1713367153.9485
MEM 28.574219 1713367154.0486
MEM 28.574219 1713367154.1488
MEM 28.574219 1713367154.2490
MEM 28.574219 1713367154.3492
MEM 28.574219 1713367154.4495
MEM 28.574219 1713367154.5496
MEM 28.574219 1713367154.6498
MEM 28.574219 1713367154.7500
MEM 28.574219 1713367154.8501
MEM 28.574219 1713367154.9503
MEM 28.574219 1713367155.0504
MEM 28.574219 1713367155.1506
MEM 28.574219 1713367155.2508
MEM 28.574219 1713367155.3510
MEM 28.574219 1713367155.4513
MEM 28.574219 1713367155.5515
MEM 28.574219 1713367155.6516
MEM 28.574219 1713367155.7518
MEM 28.574219 1713367155.8520
MEM 28.574219 1713367155.9522
MEM 28.574219 1713367156.0523
MEM 28.574219 1713367156.1525
MEM 28.574219 1713367156.2527
MEM 28.574219 1713367156.3529
MEM 28.574219 1713367156.4531
MEM 28.574219 1713367156.5533
MEM 28.574219 1713367156.6535
MEM 28.574219 1713367156.7537
MEM 28.574219 1713367156.8539
MEM 28.574219 1713367156.9541
MEM 28.574219 1713367157.0543
MEM 28.574219 1713367157.1545
MEM 28.574219 1713367157.2547
MEM 28.574219 1713367157.3548
MEM 28.574219 1713367157.4551
MEM 28.574219 1713367157.5552
MEM 28.574219 1713367157.6554
MEM 28.574219 1713367157.7556
MEM 28.574219 1713367157.8557
MEM 28.574219 1713367157.9559
MEM 28.574219 1713367158.0560
MEM 28.574219 1713367158.1562
MEM 28.574219 1713367158.2564
MEM 28.574219 1713367158.3565
MEM 28.574219 1713367158.4567
MEM 28.574219 1713367158.5569
MEM 28.574219 1713367158.6571
MEM 28.574219 1713367158.7573
MEM 28.574219 1713367158.8575
MEM 28.574219 1713367158.9577
MEM 28.574219 1713367159.0579
MEM 28.574219 1713367159.1580
MEM 28.574219 1713367159.2582
MEM 28.574219 1713367159.3584
MEM 28.574219 1713367159.4585
MEM 28.574219 1713367159.5587
MEM 28.574219 1713367159.6589
MEM 28.574219 1713367159.7591
MEM 28.574219 1713367159.8592
MEM 28.574219 1713367159.9594
MEM 28.574219 1713367160.0595
MEM 28.574219 1713367160.1597
MEM 28.574219 1713367160.2599
MEM 28.574219 1713367160.3601
MEM 28.574219 1713367160.4602
MEM 28.574219 1713367160.5605
MEM 28.574219 1713367160.6607
MEM 28.574219 1713367160.7609
MEM 28.574219 1713367160.8611
MEM 28.574219 1713367160.9613
MEM 28.574219 1713367161.0614
MEM 28.574219 1713367161.1616
MEM 28.574219 1713367161.2618
MEM 28.574219 1713367161.3619
MEM 28.574219 1713367161.4620
MEM 28.574219 1713367161.5622
MEM 28.574219 1713367161.6624
MEM 28.574219 1713367161.7626
MEM 28.574219 1713367161.8628
MEM 28.574219 1713367161.9631
MEM 28.574219 1713367162.0633
MEM 28.574219 1713367162.1635
MEM 28.574219 1713367162.2637
MEM 28.574219 1713367162.3639
MEM 28.574219 1713367162.4641
MEM 28.574219 1713367162.5642
MEM 28.574219 1713367162.6644
MEM 28.574219 1713367162.7646
MEM 28.574219 1713367162.8649
MEM 28.574219 1713367162.9650
MEM 28.574219 1713367163.0652
MEM 28.574219 1713367163.1653
MEM 28.574219 1713367163.2655
MEM 28.574219 1713367163.3657
MEM 28.574219 1713367163.4658
MEM 28.574219 1713367163.5660
MEM 28.574219 1713367163.6661
MEM 28.574219 1713367163.7663
MEM 28.574219 1713367163.8665
MEM 28.574219 1713367163.9666
MEM 28.574219 1713367164.0668
MEM 28.574219 1713367164.1670
MEM 28.574219 1713367164.2672
MEM 28.574219 1713367164.3673
MEM 28.574219 1713367164.4675
MEM 28.574219 1713367164.5676
MEM 28.574219 1713367164.6678
MEM 28.574219 1713367164.7680
MEM 28.574219 1713367164.8682
MEM 28.574219 1713367164.9684
MEM 28.574219 1713367165.0685
MEM 28.574219 1713367165.1687
MEM 28.574219 1713367165.2689
MEM 28.574219 1713367165.3691
MEM 28.574219 1713367165.4692
MEM 28.574219 1713367165.5694
MEM 28.574219 1713367165.6695
MEM 28.574219 1713367165.7698
MEM 28.574219 1713367165.8700
MEM 28.574219 1713367165.9702
MEM 28.574219 1713367166.0704
MEM 28.574219 1713367166.1706
MEM 28.574219 1713367166.2707
MEM 28.574219 1713367166.3709
MEM 28.574219 1713367166.4710
MEM 28.574219 1713367166.5712
MEM 28.574219 1713367166.6713
MEM 28.574219 1713367166.7715
MEM 28.574219 1713367166.8717
MEM 28.574219 1713367166.9720
MEM 28.574219 1713367167.0722
MEM 28.574219 1713367167.1724
MEM 28.574219 1713367167.2726
MEM 28.574219 1713367167.3727
MEM 28.574219 1713367167.4729
MEM 28.574219 1713367167.5731
MEM 28.574219 1713367167.6732
MEM 28.574219 1713367167.7734
MEM 28.574219 1713367167.8736
MEM 28.574219 1713367167.9738
MEM 28.574219 1713367168.0740
MEM 28.574219 1713367168.1741
MEM 28.574219 1713367168.2743
MEM 28.574219 1713367168.3744
MEM 28.574219 1713367168.4745
MEM 28.574219 1713367168.5747
MEM 28.574219 1713367168.6749
MEM 28.574219 1713367168.7750
MEM 28.574219 1713367168.8752
MEM 28.574219 1713367168.9754
MEM 28.574219 1713367169.0756
MEM 28.574219 1713367169.1759
MEM 28.574219 1713367169.2761
MEM 28.574219 1713367169.3762
MEM 28.574219 1713367169.4763
MEM 28.574219 1713367169.5765
MEM 28.574219 1713367169.6766
MEM 28.574219 1713367169.7768
MEM 28.574219 1713367169.8769
