CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicred-BphEo1On-py3.11/bin/python script/worst_performance/question1.py
MEM 0.574219 1713369113.9897
MEM 22.117188 1713369114.0899
MEM 22.117188 1713369114.1902
MEM 22.117188 1713369114.2903
MEM 22.117188 1713369114.3905
MEM 22.750000 1713369114.4907
MEM 22.750000 1713369114.5909
MEM 22.750000 1713369114.6913
MEM 22.750000 1713369114.7916
MEM 22.750000 1713369114.8917
MEM 22.750000 1713369114.9920
MEM 22.750000 1713369115.0922
MEM 22.750000 1713369115.1924
MEM 22.750000 1713369115.2927
MEM 22.750000 1713369115.3928
MEM 22.750000 1713369115.4930
MEM 22.750000 1713369115.5932
MEM 22.750000 1713369115.6934
MEM 22.750000 1713369115.7936
MEM 22.750000 1713369115.8938
MEM 22.750000 1713369115.9940
MEM 22.750000 1713369116.0942
MEM 22.750000 1713369116.1943
MEM 22.750000 1713369116.2945
MEM 22.750000 1713369116.3946
MEM 22.750000 1713369116.4947
MEM 22.750000 1713369116.5949
MEM 22.750000 1713369116.6951
MEM 22.750000 1713369116.7953
MEM 22.750000 1713369116.8954
MEM 22.750000 1713369116.9955
MEM 22.750000 1713369117.0958
MEM 22.750000 1713369117.1960
MEM 22.750000 1713369117.2961
MEM 22.750000 1713369117.3963
MEM 22.750000 1713369117.4964
MEM 22.750000 1713369117.5966
MEM 22.750000 1713369117.6968
MEM 22.750000 1713369117.7969
MEM 22.750000 1713369117.8972
MEM 22.750000 1713369117.9973
MEM 22.750000 1713369118.0976
MEM 22.750000 1713369118.1978
MEM 22.750000 1713369118.2980
MEM 22.750000 1713369118.3982
MEM 22.750000 1713369118.4983
MEM 22.750000 1713369118.5986
MEM 22.750000 1713369118.6988
MEM 22.750000 1713369118.7989
MEM 22.750000 1713369118.8991
MEM 22.750000 1713369118.9992
MEM 22.750000 1713369119.0994
MEM 22.750000 1713369119.1997
MEM 22.750000 1713369119.2999
MEM 22.750000 1713369119.4000
MEM 22.750000 1713369119.5002
MEM 22.750000 1713369119.6004
MEM 22.750000 1713369119.7006
MEM 22.750000 1713369119.8008
MEM 22.750000 1713369119.9009
MEM 22.750000 1713369120.0011
MEM 22.750000 1713369120.1013
MEM 22.750000 1713369120.2015
MEM 22.750000 1713369120.3018
MEM 22.750000 1713369120.4019
MEM 22.750000 1713369120.5021
MEM 22.750000 1713369120.6023
MEM 22.750000 1713369120.7025
MEM 22.750000 1713369120.8028
MEM 22.750000 1713369120.9030
MEM 22.750000 1713369121.0032
MEM 22.750000 1713369121.1033
MEM 22.750000 1713369121.2035
MEM 22.750000 1713369121.3037
MEM 22.750000 1713369121.4039
MEM 22.750000 1713369121.5041
MEM 22.750000 1713369121.6043
MEM 22.750000 1713369121.7044
MEM 22.750000 1713369121.8046
MEM 22.750000 1713369121.9047
MEM 22.750000 1713369122.0049
MEM 22.750000 1713369122.1050
MEM 22.750000 1713369122.2052
MEM 22.750000 1713369122.3055
MEM 22.750000 1713369122.4057
MEM 22.750000 1713369122.5059
MEM 22.750000 1713369122.6061
MEM 22.750000 1713369122.7063
MEM 23.007812 1713369122.8065
MEM 23.523438 1713369122.9066
MEM 23.523438 1713369123.0068
MEM 23.523438 1713369123.1070
MEM 23.523438 1713369123.2072
MEM 23.523438 1713369123.3074
MEM 23.523438 1713369123.4076
MEM 23.523438 1713369123.5079
MEM 23.523438 1713369123.6081
MEM 23.523438 1713369123.7082
MEM 23.523438 1713369123.8083
MEM 23.523438 1713369123.9085
MEM 23.523438 1713369124.0087
MEM 23.523438 1713369124.1089
MEM 23.523438 1713369124.2090
MEM 23.523438 1713369124.3092
MEM 23.523438 1713369124.4095
MEM 23.523438 1713369124.5096
MEM 23.523438 1713369124.6098
MEM 23.523438 1713369124.7100
MEM 23.523438 1713369124.8102
MEM 23.523438 1713369124.9103
MEM 23.523438 1713369125.0104
MEM 23.523438 1713369125.1106
MEM 23.523438 1713369125.2107
MEM 23.523438 1713369125.3109
MEM 23.523438 1713369125.4110
MEM 23.523438 1713369125.5112
MEM 23.523438 1713369125.6115
MEM 23.523438 1713369125.7116
MEM 23.523438 1713369125.8117
MEM 23.523438 1713369125.9119
MEM 23.523438 1713369126.0120
MEM 23.523438 1713369126.1122
MEM 23.523438 1713369126.2124
MEM 23.523438 1713369126.3125
MEM 23.523438 1713369126.4127
MEM 23.523438 1713369126.5129
MEM 23.523438 1713369126.6131
MEM 23.523438 1713369126.7133
MEM 23.523438 1713369126.8135
MEM 23.523438 1713369126.9136
MEM 23.523438 1713369127.0138
MEM 23.523438 1713369127.1139
MEM 23.523438 1713369127.2140
MEM 23.523438 1713369127.3142
MEM 23.523438 1713369127.4143
MEM 23.523438 1713369127.5144
MEM 23.523438 1713369127.6148
MEM 23.523438 1713369127.7151
MEM 23.523438 1713369127.8153
MEM 23.523438 1713369127.9155
MEM 23.523438 1713369128.0156
MEM 23.523438 1713369128.1158
MEM 23.523438 1713369128.2160
MEM 23.523438 1713369128.3162
MEM 23.523438 1713369128.4164
MEM 23.523438 1713369128.5166
MEM 23.523438 1713369128.6168
MEM 23.523438 1713369128.7170
MEM 23.523438 1713369128.8172
